dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,other,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line,predict
defect4j,time,org/joda/time/field/UnsupportedDurationField,1,227,        if (durationField.isSupported()) {,0,0,0,2,5,1,2,0,0,4,34,5,0.16667,1,0,-1
defect4j,time,org/joda/time/field/UnsupportedDurationField,1,228,            return 1;,0,0,0,0,0,1,0,0,0,1,9,2,0.16667,1,0,-1
defect4j,time,org/joda/time/Partial,1,217,                int compare = lastUnitField.compareTo(loopUnitField);,1,0,0,1,2,1,3,0,0,5,53,9,0.00714,1,1,-1
defect4j,time,org/joda/time/Partial,1,221,                } else if (compare == 0) {,1,1,0,1,4,2,0,0,0,5,26,9,0.00714,1,0,-1
defect4j,time,org/joda/time/field/UnsupportedDurationField,2,227,        return 0;,0,0,0,0,0,1,0,0,0,1,9,2,0.2,1,1,-1
defect4j,time,org/joda/time/Partial,2,458,"            System.arraycopy(iTypes, 0, newTypes, 0, i);",0,0,0,0,2,0,5,0,0,2,44,7,0.03704,1,1,-1
defect4j,time,org/joda/time/Partial,2,218,                if (compare < 0 || (compare != 0 && loopUnitField.isSupported() == false)) {,2,5,0,3,7,1,2,0,1,7,76,8,0.00719,1,0,-1
defect4j,time,org/joda/time/MutableDateTime,3,785,"            setMillis(getChronology().hours().add(getMillis(), hours));",0,0,0,1,10,0,6,0,3,4,59,4,2.77778,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,786,    },0,0,0,0,1,0,0,0,0,1,1,2,2.77778,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,660,"            setMillis(getChronology().years().add(getMillis(), years));",0,0,0,1,10,0,6,0,3,4,59,4,0.16667,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,661,    },0,0,0,0,1,0,0,0,0,1,1,2,0.16667,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,702,"            setMillis(getChronology().months().add(getMillis(), months));",0,0,0,1,10,0,6,0,3,4,61,4,0.16667,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,703,    },0,0,0,0,1,0,0,0,0,1,1,2,0.16667,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,723,"            setMillis(getChronology().weeks().add(getMillis(), weeks));",0,0,0,1,10,0,6,0,3,4,59,4,0.16667,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,724,    },0,0,0,0,1,0,0,0,0,1,1,2,0.16667,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,764,"            setMillis(getChronology().days().add(getMillis(), days));",0,0,0,1,10,0,6,0,3,4,57,4,0.16667,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,765,    },0,0,0,0,1,0,0,0,0,1,1,2,0.16667,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,775,"        setMillis(getChronology().hourOfDay().set(getMillis(), hourOfDay));",0,0,0,1,10,0,6,0,3,4,67,4,0.0,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,776,    },0,0,0,0,1,0,0,0,0,1,1,2,0.0,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,796,"        setMillis(getChronology().minuteOfDay().set(getMillis(), minuteOfDay));",0,0,0,1,10,0,6,0,3,4,71,4,0.0,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,797,    },0,0,0,0,1,0,0,0,0,1,1,2,0.0,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,816,"            setMillis(getChronology().minutes().add(getMillis(), minutes));",0,0,0,1,10,0,6,0,3,4,63,4,0.0,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,817,    },0,0,0,0,1,0,0,0,0,1,1,2,0.0,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,847,"            setMillis(getChronology().seconds().add(getMillis(), seconds));",0,0,0,1,10,0,6,0,3,4,63,4,0.0,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,848,    },0,0,0,0,1,0,0,0,0,1,1,2,0.0,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,880,"            setMillis(getChronology().millis().add(getMillis(), millis));",0,0,0,1,10,0,6,0,3,4,61,4,0.0,1,1,-1
defect4j,time,org/joda/time/MutableDateTime,3,881,    },0,0,0,0,1,0,0,0,0,1,1,2,0.0,1,1,-1
defect4j,time,org/joda/time/Partial,4,464,"            Partial newPartial = new Partial(iChronology, newTypes, newValues);",4,0,0,0,2,1,0,2,1,5,67,6,0.04167,1,0,-1
defect4j,time,org/joda/time/Period,5,1631,                result = result.withYears(years);,1,0,0,1,2,0,3,0,1,5,33,8,1.125,1,0,-1
defect4j,time,org/joda/time/Period,5,1629,            months = months % 12;,2,1,0,0,0,0,0,0,1,3,21,6,1.0,1,0,-1
defect4j,time,org/joda/time/Period,5,1630,            if (years != 0) {,1,1,0,1,3,1,0,0,0,5,17,6,1.0,1,0,-1
defect4j,time,org/joda/time/Period,5,1628,"            years = FieldUtils.safeAdd(years, months / 12);",2,1,0,0,2,0,3,0,1,5,47,6,0.81818,1,0,-1
defect4j,time,org/joda/time/Period,5,1633,            if (months != 0) {,1,1,0,1,3,1,0,0,0,5,18,6,0.0,1,0,-1
defect4j,time,org/joda/time/Period,5,1634,                result = result.withMonths(months);,1,0,0,1,2,0,3,0,1,5,35,8,0.0,1,0,-1
defect4j,time,org/joda/time/chrono/GJChronology,6,975,"                instant = iGregorianField.add(instant, value);",1,0,0,0,2,0,4,0,1,4,46,7,4.0,1,1,-1
defect4j,time,org/joda/time/chrono/GJChronology,6,976,                if (instant < iCutover) {,2,1,0,1,3,1,0,0,0,5,25,7,4.0,1,1,-1
defect4j,time,org/joda/time/chrono/GJChronology,6,979,                        instant = gregorianToJulian(instant);,1,0,0,1,2,0,2,0,2,5,37,11,4.0,1,1,-1
